Date,Commodity,State,District,Market,Total_Arrival,Population,MinPrice,MaxPrice,ModalPrice
04-Mar-2023,Onion,Karnataka,Bangalore,0,"133355,0",13.606.753,300,700,500
05-Mar-2023,Onion,Karnataka,Bangalore,0,"133355,0",13.606.753,N/A,N/A,N/A
06-Mar-2023,Onion,Karnataka,Bangalore,0,"136403,0",13.606.753,300,700,500
07-Mar-2023,Onion,Karnataka,Bangalore,0,"138536,0",13.606.753,300,700,500
08-Mar-2023,Onion,Karnataka,Bangalore,0,"140646,0",13.606.753,300,700,500
09-Mar-2023,Onion,Karnataka,Bangalore,0,"143326,0",13.606.753,300,700,500
10-Mar-2023,Onion,Karnataka,Bangalore,0,"146195,0",13.606.753,300,700,500
11-Mar-2023,Onion,Karnataka,Bangalore,0,"146195,0",13.606.753,N/A,N/A,N/A
12-Mar-2023,Onion,Karnataka,Bangalore,0,"146195,0",13.606.753,N/A,N/A,N/A
13-Mar-2023,Onion,Karnataka,Bangalore,0,"151853,0",13.606.753,500,1000,700
14-Mar-2023,Onion,Karnataka,Bangalore,0,"154969,0",13.606.753,500,1000,700
15-Mar-2023,Onion,Karnataka,Bangalore,0,"157868,0",13.606.753,500,1000,700
16-Mar-2023,Onion,Karnataka,Bangalore,0,"161078,0",13.606.753,500,1000,700
17-Mar-2023,Onion,Karnataka,Bangalore,0,"163583,0",13.606.753,500,1000,700
18-Mar-2023,Onion,Karnataka,Bangalore,0,"166678,0",13.606.753,500,1000,700
19-Mar-2023,Onion,Karnataka,Bangalore,0,"166678,0",13.606.753,N/A,N/A,N/A
20-Mar-2023,Onion,Karnataka,Bangalore,0,"169923,0",13.606.753,500,1000,700
21-Mar-2023,Onion,Karnataka,Bangalore,0,"171822,0",13.606.753,500,1000,700
22-Mar-2023,Onion,Karnataka,Bangalore,0,"171822,0",13.606.753,N/A,N/A,N/A
23-Mar-2023,Onion,Karnataka,Bangalore,0,"173273,0",13.606.753,500,1000,700
24-Mar-2023,Onion,Karnataka,Bangalore,0,"174795,0",13.606.753,500,1000,700
25-Mar-2023,Onion,Karnataka,Bangalore,0,"174795,0",13.606.753,N/A,N/A,N/A
26-Mar-2023,Onion,Karnataka,Bangalore,0,"174795,0",13.606.753,N/A,N/A,N/A
27-Mar-2023,Onion,Karnataka,Bangalore,0,"179141,0",13.606.753,500,1000,700
28-Mar-2023,Onion,Karnataka,Bangalore,0,"182073,0",13.606.753,400,700,600
29-Mar-2023,Onion,Karnataka,Bangalore,0,"184446,0",13.606.753,400,700,600
30-Mar-2023,Onion,Karnataka,Bangalore,0,"187071,0",13.606.753,400,700,600
31-Mar-2023,Onion,Karnataka,Bangalore,0,"189405,0",13.606.753,300,500,400
01-Apr-2023,Onion,Karnataka,Bangalore,0,"192220,0",13.606.753,300,500,400
02-Apr-2023,Onion,Karnataka,Bangalore,0,"192220,0",13.606.753,N/A,N/A,N/A
03-Apr-2023,Onion,Karnataka,Bangalore,0,"195110,0",13.606.753,300,500,400
04-Apr-2023,Onion,Karnataka,Bangalore,0,"195110,0",13.606.753,N/A,N/A,N/A
05-Apr-2023,Onion,Karnataka,Bangalore,0,"198531,0",13.606.753,300,500,400
06-Apr-2023,Onion,Karnataka,Bangalore,0,"200602,0",13.606.753,300,500,400
07-Apr-2023,Onion,Karnataka,Bangalore,0,"200602,0",13.606.753,N/A,N/A,N/A
08-Apr-2023,Onion,Karnataka,Bangalore,0,"200602,0",13.606.753,N/A,N/A,N/A
09-Apr-2023,Onion,Karnataka,Bangalore,0,"200602,0",13.606.753,N/A,N/A,N/A
10-Apr-2023,Onion,Karnataka,Bangalore,0,"206610,0",13.606.753,300,700,600
11-Apr-2023,Onion,Karnataka,Bangalore,0,"208549,0",13.606.753,300,700,600
12-Apr-2023,Onion,Karnataka,Bangalore,0,"210579,0",13.606.753,300,700,600
13-Apr-2023,Onion,Karnataka,Bangalore,0,"213034,0",13.606.753,300,700,600
14-Apr-2023,Onion,Karnataka,Bangalore,0,"213034,0",13.606.753,N/A,N/A,N/A
15-Apr-2023,Onion,Karnataka,Bangalore,0,"215447,0",13.606.753,300,700,600
16-Apr-2023,Onion,Karnataka,Bangalore,0,"215447,0",13.606.753,N/A,N/A,N/A
17-Apr-2023,Onion,Karnataka,Bangalore,0,"218313,0",13.606.753,300,700,600
18-Apr-2023,Onion,Karnataka,Bangalore,0,"220696,0",13.606.753,300,700,600
19-Apr-2023,Onion,Karnataka,Bangalore,0,"223151,0",13.606.753,300,700,600
20-Apr-2023,Onion,Karnataka,Bangalore,0,"224253,0",13.606.753,300,700,600
21-Apr-2023,Onion,Karnataka,Bangalore,0,"226101,0",13.606.753,300,700,600
22-Apr-2023,Onion,Karnataka,Bangalore,0,"226101,0",13.606.753,N/A,N/A,N/A
23-Apr-2023,Onion,Karnataka,Bangalore,0,"226101,0",13.606.753,N/A,N/A,N/A
24-Apr-2023,Onion,Karnataka,Bangalore,0,"228690,0",13.606.753,400,800,700
25-Apr-2023,Onion,Karnataka,Bangalore,0,"230881,0",13.606.753,400,800,700
26-Apr-2023,Onion,Karnataka,Bangalore,0,"232905,0",13.606.753,400,800,700
27-Apr-2023,Onion,Karnataka,Bangalore,0,"235343,0",13.606.753,400,800,700
28-Apr-2023,Onion,Karnataka,Bangalore,0,"237771,0",13.606.753,300,500,400
29-Apr-2023,Onion,Karnataka,Bangalore,0,"240296,0",13.606.753,300,500,400
30-Apr-2023,Onion,Karnataka,Bangalore,0,"240296,0",13.606.753,N/A,N/A,N/A
01-May-2023,Onion,Karnataka,Bangalore,0,"240296,0",13.606.753,N/A,N/A,N/A
02-May-2023,Onion,Karnataka,Bangalore,0,"243062,0",13.606.753,300,500,400
03-May-2023,Onion,Karnataka,Bangalore,0,"245272,0",13.606.753,300,500,400
04-May-2023,Onion,Karnataka,Bangalore,0,"246930,0",13.606.753,300,500,400
05-May-2023,Onion,Karnataka,Bangalore,0,"249035,0",13.606.753,300,500,400
06-May-2023,Onion,Karnataka,Bangalore,0,"251069,0",13.606.753,300,500,400
07-May-2023,Onion,Karnataka,Bangalore,0,"251069,0",13.606.753,N/A,N/A,N/A
08-May-2023,Onion,Karnataka,Bangalore,0,"253432,0",13.606.753,300,500,400
09-May-2023,Onion,Karnataka,Bangalore,0,"255457,0",13.606.753,300,500,400
10-May-2023,Onion,Karnataka,Bangalore,0,"255457,0",13.606.753,N/A,N/A,N/A
11-May-2023,Onion,Karnataka,Bangalore,0,"258280,0",13.606.753,300,500,400
12-May-2023,Onion,Karnataka,Bangalore,0,"260346,0",13.606.753,300,500,400
13-May-2023,Onion,Karnataka,Bangalore,0,"260346,0",13.606.753,N/A,N/A,N/A
14-May-2023,Onion,Karnataka,Bangalore,0,"260346,0",13.606.753,N/A,N/A,N/A
15-May-2023,Onion,Karnataka,Bangalore,0,"266742,0",13.606.753,300,500,400
16-May-2023,Onion,Karnataka,Bangalore,0,"269443,0",13.606.753,300,500,400
17-May-2023,Onion,Karnataka,Bangalore,0,"272326,0",13.606.753,300,500,400
18-May-2023,Onion,Karnataka,Bangalore,0,"274945,0",13.606.753,300,500,400
19-May-2023,Onion,Karnataka,Bangalore,0,"277610,0",13.606.753,300,500,400
20-May-2023,Onion,Karnataka,Bangalore,0,"279793,0",13.606.753,300,500,400
21-May-2023,Onion,Karnataka,Bangalore,0,"279793,0",13.606.753,N/A,N/A,N/A
22-May-2023,Onion,Karnataka,Bangalore,0,"281977,0",13.606.753,300,500,400
23-May-2023,Onion,Karnataka,Bangalore,0,"283267,0",13.606.753,300,500,400
24-May-2023,Onion,Karnataka,Bangalore,0,"283268,0",13.606.753,1000,1500,1250
25-May-2023,Onion,Karnataka,Bangalore,0,"283269,0",13.606.753,1000,1500,1200
26-May-2023,Onion,Karnataka,Bangalore,0,"284952,0",13.606.753,200,400,300
27-May-2023,Onion,Karnataka,Bangalore,0,"284952,0",13.606.753,N/A,N/A,N/A
28-May-2023,Onion,Karnataka,Bangalore,0,"284952,0",13.606.753,N/A,N/A,N/A
29-May-2023,Onion,Karnataka,Bangalore,0,"290279,0",13.606.753,400,800,600
30-May-2023,Onion,Karnataka,Bangalore,0,"293048,0",13.606.753,400,800,600
31-May-2023,Onion,Karnataka,Bangalore,0,"295265,0",13.606.753,400,800,600
01-Jun-2023,Onion,Karnataka,Bangalore,0,"297177,0",13.606.753,400,800,600
02-Jun-2023,Onion,Karnataka,Bangalore,0,"299581,0",13.606.753,400,800,600
03-Jun-2023,Onion,Karnataka,Bangalore,0,"301743,0",13.606.753,400,800,600
04-Jun-2023,Onion,Karnataka,Bangalore,0,"301743,0",13.606.753,N/A,N/A,N/A
05-Jun-2023,Onion,Karnataka,Bangalore,0,"305392,0",13.606.753,300,600,500
06-Jun-2023,Onion,Karnataka,Bangalore,0,"306747,0",13.606.753,300,600,500
07-Jun-2023,Onion,Karnataka,Bangalore,0,"308911,0",13.606.753,400,800,600
08-Jun-2023,Onion,Karnataka,Bangalore,0,"311371,0",13.606.753,400,800,600
09-Jun-2023,Onion,Karnataka,Bangalore,0,"314035,0",13.606.753,400,800,600
10-Jun-2023,Onion,Karnataka,Bangalore,0,"314035,0",13.606.753,N/A,N/A,N/A
11-Jun-2023,Onion,Karnataka,Bangalore,0,"314035,0",13.606.753,N/A,N/A,N/A
12-Jun-2023,Onion,Karnataka,Bangalore,0,"318179,0",13.606.753,400,800,600
13-Jun-2023,Onion,Karnataka,Bangalore,0,"319867,0",13.606.753,400,800,600
14-Jun-2023,Onion,Karnataka,Bangalore,0,"321444,0",13.606.753,500,1000,800
15-Jun-2023,Onion,Karnataka,Bangalore,0,"322933,0",13.606.753,500,1000,800
16-Jun-2023,Onion,Karnataka,Bangalore,0,"325289,0",13.606.753,500,1000,800
17-Jun-2023,Onion,Karnataka,Bangalore,0,"327603,0",13.606.753,500,1000,800
18-Jun-2023,Onion,Karnataka,Bangalore,0,"327603,0",13.606.753,N/A,N/A,N/A
19-Jun-2023,Onion,Karnataka,Bangalore,0,"330223,0",13.606.753,500,1000,800
20-Jun-2023,Onion,Karnataka,Bangalore,0,"332020,0",13.606.753,500,1000,800
21-Jun-2023,Onion,Karnataka,Bangalore,0,"333919,0",13.606.753,500,1000,800
22-Jun-2023,Onion,Karnataka,Bangalore,0,"335832,0",13.606.753,500,1000,800
23-Jun-2023,Onion,Karnataka,Bangalore,0,"337321,0",13.606.753,500,1000,800
24-Jun-2023,Onion,Karnataka,Bangalore,0,"337321,0",13.606.753,N/A,N/A,N/A
25-Jun-2023,Onion,Karnataka,Bangalore,0,"337321,0",13.606.753,N/A,N/A,N/A
26-Jun-2023,Onion,Karnataka,Bangalore,0,"341121,0",13.606.753,400,800,700
27-Jun-2023,Onion,Karnataka,Bangalore,0,"342723,0",13.606.753,400,800,700
28-Jun-2023,Onion,Karnataka,Bangalore,0,"344785,0",13.606.753,400,800,700
29-Jun-2023,Onion,Karnataka,Bangalore,0,"344785,0",13.606.753,N/A,N/A,N/A
30-Jun-2023,Onion,Karnataka,Bangalore,0,"348329,0",13.606.753,400,800,700
01-Jul-2023,Onion,Karnataka,Bangalore,0,"350233,0",13.606.753,400,800,700
02-Jul-2023,Onion,Karnataka,Bangalore,0,"350233,0",13.606.753,N/A,N/A,N/A
03-Jul-2023,Onion,Karnataka,Bangalore,0,"352241,0",13.606.753,800,1200,900
04-Jul-2023,Onion,Karnataka,Bangalore,0,"354235,0",13.606.753,800,1200,900
05-Jul-2023,Onion,Karnataka,Bangalore,0,"356312,0",13.606.753,800,1200,900
06-Jul-2023,Onion,Karnataka,Bangalore,0,"357871,0",13.606.753,800,1200,900
07-Jul-2023,Onion,Karnataka,Bangalore,0,"359437,0",13.606.753,800,1200,900
08-Jul-2023,Onion,Karnataka,Bangalore,0,"359437,0",13.606.753,N/A,N/A,N/A
09-Jul-2023,Onion,Karnataka,Bangalore,0,"359437,0",13.606.753,N/A,N/A,N/A
10-Jul-2023,Onion,Karnataka,Bangalore,0,"359438,0",13.606.753,1500,2500,2000
11-Jul-2023,Onion,Karnataka,Bangalore,0,"359439,0",13.606.753,1500,2500,2000
12-Jul-2023,Onion,Karnataka,Bangalore,0,"362044,0",13.606.753,800,1200,1000
13-Jul-2023,Onion,Karnataka,Bangalore,0,"364568,0",13.606.753,800,1000,900
14-Jul-2023,Onion,Karnataka,Bangalore,0,"366708,0",13.606.753,800,1000,900
15-Jul-2023,Onion,Karnataka,Bangalore,0,"366708,0",13.606.753,N/A,N/A,N/A
16-Jul-2023,Onion,Karnataka,Bangalore,0,"366708,0",13.606.753,N/A,N/A,N/A
17-Jul-2023,Onion,Karnataka,Bangalore,0,"368061,0",13.606.753,800,1000,900
18-Jul-2023,Onion,Karnataka,Bangalore,0,"369013,0",13.606.753,800,1200,1000
19-Jul-2023,Onion,Karnataka,Bangalore,0,"369014,0",13.606.753,1500,2500,2000
20-Jul-2023,Onion,Karnataka,Bangalore,0,"371340,0",13.606.753,800,1200,1000
21-Jul-2023,Onion,Karnataka,Bangalore,0,"373311,0",13.606.753,800,1200,1000
22-Jul-2023,Onion,Karnataka,Bangalore,0,"373311,0",13.606.753,N/A,N/A,N/A
23-Jul-2023,Onion,Karnataka,Bangalore,0,"373311,0",13.606.753,N/A,N/A,N/A
24-Jul-2023,Onion,Karnataka,Bangalore,0,"377667,0",13.606.753,800,1200,1000
25-Jul-2023,Onion,Karnataka,Bangalore,0,"379506,0",13.606.753,800,1200,1000
26-Jul-2023,Onion,Karnataka,Bangalore,0,"380631,0",13.606.753,800,1000,900
27-Jul-2023,Onion,Karnataka,Bangalore,0,"381910,0",13.606.753,800,1000,900
28-Jul-2023,Onion,Karnataka,Bangalore,0,"383225,0",13.606.753,800,1000,900
29-Jul-2023,Onion,Karnataka,Bangalore,0,"383225,0",13.606.753,N/A,N/A,N/A
30-Jul-2023,Onion,Karnataka,Bangalore,0,"383225,0",13.606.753,N/A,N/A,N/A
31-Jul-2023,Onion,Karnataka,Bangalore,0,"386605,0",13.606.753,800,1000,900
01-Aug-2023,Onion,Karnataka,Bangalore,0,"388395,0",13.606.753,800,1000,900
02-Aug-2023,Onion,Karnataka,Bangalore,0,"390298,0",13.606.753,800,1000,900
03-Aug-2023,Onion,Karnataka,Bangalore,0,"392788,0",13.606.753,800,1200,1000
04-Aug-2023,Onion,Karnataka,Bangalore,0,"394964,0",13.606.753,800,1200,1000
05-Aug-2023,Onion,Karnataka,Bangalore,0,"396902,0",13.606.753,800,1200,1000
06-Aug-2023,Onion,Karnataka,Bangalore,0,"396902,0",13.606.753,N/A,N/A,N/A
07-Aug-2023,Onion,Karnataka,Bangalore,0,"398736,0",13.606.753,1000,1500,1300
08-Aug-2023,Onion,Karnataka,Bangalore,0,"400708,0",13.606.753,1000,1500,1300
09-Aug-2023,Onion,Karnataka,Bangalore,0,"402370,0",13.606.753,1000,1500,1300
10-Aug-2023,Onion,Karnataka,Bangalore,0,"404081,0",13.606.753,1000,1500,1300
11-Aug-2023,Onion,Karnataka,Bangalore,0,"405599,0",13.606.753,1000,1500,1300
12-Aug-2023,Onion,Karnataka,Bangalore,0,"405599,0",13.606.753,N/A,N/A,N/A
13-Aug-2023,Onion,Karnataka,Bangalore,0,"405599,0",13.606.753,N/A,N/A,N/A
14-Aug-2023,Onion,Karnataka,Bangalore,0,"405599,0",13.606.753,N/A,N/A,N/A
15-Aug-2023,Onion,Karnataka,Bangalore,0,"405599,0",13.606.753,N/A,N/A,N/A
16-Aug-2023,Onion,Karnataka,Bangalore,0,"405599,0",13.606.753,N/A,N/A,N/A
17-Aug-2023,Onion,Karnataka,Bangalore,0,"407358,0",13.606.753,1000,1600,1500
18-Aug-2023,Onion,Karnataka,Bangalore,0,"409507,0",13.606.753,1000,1600,1500
19-Aug-2023,Onion,Karnataka,Bangalore,0,"412139,0",13.606.753,1000,1600,1500
20-Aug-2023,Onion,Karnataka,Bangalore,0,"412139,0",13.606.753,N/A,N/A,N/A
21-Aug-2023,Onion,Karnataka,Bangalore,0,"414452,0",13.606.753,1000,1600,1500
22-Aug-2023,Onion,Karnataka,Bangalore,0,"416341,0",13.606.753,1000,1600,1500
23-Aug-2023,Onion,Karnataka,Bangalore,0,"418141,0",13.606.753,1000,1600,1500
24-Aug-2023,Onion,Karnataka,Bangalore,0,"418141,0",13.606.753,N/A,N/A,N/A
25-Aug-2023,Onion,Karnataka,Bangalore,0,"419982,0",13.606.753,1000,1600,1500
26-Aug-2023,Onion,Karnataka,Bangalore,0,"419982,0",13.606.753,N/A,N/A,N/A
27-Aug-2023,Onion,Karnataka,Bangalore,0,"419982,0",13.606.753,N/A,N/A,N/A
28-Aug-2023,Onion,Karnataka,Bangalore,0,"424041,0",13.606.753,1000,1600,1500
29-Aug-2023,Onion,Karnataka,Bangalore,0,"426201,0",13.606.753,1000,1600,1500
30-Aug-2023,Onion,Karnataka,Bangalore,0,"427794,0",13.606.753,1000,1500,1300
31-Aug-2023,Onion,Karnataka,Bangalore,0,"429755,0",13.606.753,1000,1500,1300
01-Sep-2023,Onion,Karnataka,Bangalore,0,"431466,0",13.606.753,1000,1500,1300
02-Sep-2023,Onion,Karnataka,Bangalore,0,"432968,0",13.606.753,1000,1500,1300
03-Sep-2023,Onion,Karnataka,Bangalore,0,"432968,0",13.606.753,N/A,N/A,N/A
04-Sep-2023,Onion,Karnataka,Bangalore,0,"435004,0",13.606.753,1000,1500,1300
05-Sep-2023,Onion,Karnataka,Bangalore,0,"436984,0",13.606.753,1000,1500,1300
06-Sep-2023,Onion,Karnataka,Bangalore,0,"438641,0",13.606.753,1000,1500,1300
07-Sep-2023,Onion,Karnataka,Bangalore,0,"438642,0",13.606.753,1500,2500,2000
08-Sep-2023,Onion,Karnataka,Bangalore,0,"441103,0",13.606.753,1000,1500,1300
09-Sep-2023,Onion,Karnataka,Bangalore,0,"441103,0",13.606.753,N/A,N/A,N/A
10-Sep-2023,Onion,Karnataka,Bangalore,0,"441103,0",13.606.753,N/A,N/A,N/A
11-Sep-2023,Onion,Karnataka,Bangalore,0,"446033,0",13.606.753,1000,1500,1300
12-Sep-2023,Onion,Karnataka,Bangalore,0,"448162,0",13.606.753,1000,1500,1300
13-Sep-2023,Onion,Karnataka,Bangalore,0,"450192,0",13.606.753,1000,1500,1300
14-Sep-2023,Onion,Karnataka,Bangalore,0,"450193,0",13.606.753,1500,2500,2000
15-Sep-2023,Onion,Karnataka,Bangalore,0,"452596,0",13.606.753,1000,1500,1300
16-Sep-2023,Onion,Karnataka,Bangalore,0,"455353,0",13.606.753,1000,1500,1300
17-Sep-2023,Onion,Karnataka,Bangalore,0,"455353,0",13.606.753,N/A,N/A,N/A
18-Sep-2023,Onion,Karnataka,Bangalore,0,"455353,0",13.606.753,N/A,N/A,N/A
19-Sep-2023,Onion,Karnataka,Bangalore,0,"457444,0",13.606.753,1000,1500,1300
20-Sep-2023,Onion,Karnataka,Bangalore,0,"457445,0",13.606.753,1500,2500,2000
21-Sep-2023,Onion,Karnataka,Bangalore,0,"459712,0",13.606.753,1000,1500,1300
22-Sep-2023,Onion,Karnataka,Bangalore,0,"459714,0",13.606.753,1500,2500,2000
23-Sep-2023,Onion,Karnataka,Bangalore,0,"459714,0",13.606.753,N/A,N/A,N/A
24-Sep-2023,Onion,Karnataka,Bangalore,0,"459714,0",13.606.753,N/A,N/A,N/A
25-Sep-2023,Onion,Karnataka,Bangalore,0,"459715,0",13.606.753,1500,2500,2000
26-Sep-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,1500,2500,2000
27-Sep-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,N/A,N/A,N/A
28-Sep-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,N/A,N/A,N/A
29-Sep-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,N/A,N/A,N/A
30-Sep-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,N/A,N/A,N/A
01-Oct-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,N/A,N/A,N/A
02-Oct-2023,Onion,Karnataka,Bangalore,0,"459717,0",13.606.753,N/A,N/A,N/A
03-Oct-2023,Onion,Karnataka,Bangalore,0,"463762,0",13.606.753,1500,2000,1800
04-Oct-2023,Onion,Karnataka,Bangalore,0,"466746,0",13.606.753,1500,2000,1800
05-Oct-2023,Onion,Karnataka,Bangalore,0,"469836,0",13.606.753,1500,2000,1800
06-Oct-2023,Onion,Karnataka,Bangalore,0,"473172,0",13.606.753,1500,2000,1800
07-Oct-2023,Onion,Karnataka,Bangalore,0,"477096,0",13.606.753,1500,2000,1800
08-Oct-2023,Onion,Karnataka,Bangalore,0,"477096,0",13.606.753,N/A,N/A,N/A
09-Oct-2023,Onion,Karnataka,Bangalore,0,"480267,0",13.606.753,1000,1800,1600
10-Oct-2023,Onion,Karnataka,Bangalore,0,"480268,0",13.606.753,2000,3000,2500
11-Oct-2023,Onion,Karnataka,Bangalore,0,"480269,0",13.606.753,2000,3000,2500
12-Oct-2023,Onion,Karnataka,Bangalore,0,"480271,0",13.606.753,2000,3000,2500
13-Oct-2023,Onion,Karnataka,Bangalore,0,"480273,0",13.606.753,2000,3000,2500
14-Oct-2023,Onion,Karnataka,Bangalore,0,"480273,0",13.606.753,N/A,N/A,N/A
15-Oct-2023,Onion,Karnataka,Bangalore,0,"480273,0",13.606.753,N/A,N/A,N/A
16-Oct-2023,Onion,Karnataka,Bangalore,0,"488877,0",13.606.753,1000,1800,1600
17-Oct-2023,Onion,Karnataka,Bangalore,0,"491390,0",13.606.753,1000,1800,1600
18-Oct-2023,Onion,Karnataka,Bangalore,0,"493935,0",13.606.753,1000,1800,1600
19-Oct-2023,Onion,Karnataka,Bangalore,0,"497158,0",13.606.753,2000,2800,2500
20-Oct-2023,Onion,Karnataka,Bangalore,0,"500465,0",13.606.753,2000,2800,2500
21-Oct-2023,Onion,Karnataka,Bangalore,0,"504537,0",13.606.753,2000,2800,2500
